"Date","Fire District Number","Fire Station Latitude","Fire Station Longitude","Count of EMS Incidents"
01/03/2018,55,34.124161,-118.219367,5
01/03/2018,56,34.107571,-118.263623,5
01/03/2018,57,33.968768,-118.291206,32
01/03/2018,58,34.0507,-118.383968,26
01/03/2018,59,34.036674,-118.444383,11
01/03/2018,60,34.167502,-118.378611,17
01/03/2018,61,34.069412,-118.347084,18
01/03/2018,62,34.00588,-118.428172,16
01/03/2018,63,33.991125,-118.458376,16
01/03/2018,64,33.938031,-118.274328,47
01/03/2018,65,33.946056,-118.24026,21
01/03/2018,66,33.989419,-118.311565,28
01/03/2018,67,33.974214,-118.428497,10
01/03/2018,68,34.041026,-118.349247,23
01/03/2018,69,34.044571,-118.5219,3
01/03/2018,70,34.24943,-118.536421,11
01/03/2018,71,34.080521,-118.435531,1
01/03/2018,72,34.193951,-118.588767,15
01/03/2018,73,34.20514,-118.536378,12
01/03/2018,74,34.258651,-118.301788,9
01/03/2018,75,34.272461,-118.466578,7
01/03/2018,76,34.126695,-118.345813,2
01/03/2018,77,34.236294,-118.366945,5
01/03/2018,78,34.144448,-118.405751,10
01/03/2018,79,33.868443,-118.290297,10
01/03/2018,81,34.213341,-118.44427,14
01/03/2018,82,34.102046,-118.315456,20
01/03/2018,83,34.161048,-118.500588,13
01/03/2018,84,34.172778,-118.591467,11
01/03/2018,85,33.795022,-118.300029,11
01/03/2018,86,34.150324,-118.370214,11
01/03/2018,87,34.254726,-118.50172,9
01/03/2018,88,34.163057,-118.466493,19
01/03/2018,89,34.199116,-118.396805,24
01/03/2018,90,34.214381,-118.48401,7
01/03/2018,91,34.309405,-118.447217,17
01/03/2018,92,34.044045,-118.420373,11
01/03/2018,93,34.17282,-118.548836,13
01/03/2018,94,34.017567,-118.345386,29
01/03/2018,95,33.94533,-118.381234,11
01/03/2018,96,34.247355,-118.603049,12
01/03/2018,98,34.270067,-118.417144,16
01/03/2018,100,34.192901,-118.510023,3
01/03/2018,101,33.721922,-118.310281,7
01/03/2018,102,34.17187,-118.421358,12
01/03/2018,103,34.228947,-118.528389,5
01/03/2018,104,34.221588,-118.57141,6
01/03/2018,105,34.185444,-118.623688,15
01/03/2018,106,34.219043,-118.627915,10
01/03/2018,107,34.257526,-118.573476,7
01/03/2018,109,34.130684,-118.492642,4
01/03/2018,112,33.740556,-118.278302,7
01/04/2018,1,34.075138,-118.218304,1
01/04/2018,2,34.049176,-118.213776,8
01/04/2018,3,34.058512,-118.252009,16
01/04/2018,4,34.050171,-118.236079,15
01/04/2018,5,33.955648,-118.403671,13
01/04/2018,6,34.077083,-118.286542,25
01/04/2018,7,34.242387,-118.45144,15
