FID,BATTALION_,DIVISION_N,FIRSTIN_DI,RFSNUM,AREA_SQMI,BUREAU,SHAPE_Length,SHAPE_Area
77,11,0,11,11,1.60303811,CENTRAL BUREAU,0.108136045264821,44598693.4195
78,9,0,69,69,5.11907163,WEST BUREAU,0.159274584925404,142711760.129
79,1,0,3,3,1.81479053,CENTRAL BUREAU,0.102383155853861,50592087.5744
80,11,0,29,29,2.71853756,CENTRAL BUREAU,0.133583162264912,75794729.1661
81,2,0,16,16,2.43843497,CENTRAL BUREAU,0.134885450182592,68005290.0466
82,18,0,61,61,4.22829099,SOUTH BUREAU,0.157665075007897,118034775.461
83,5,0,41,41,4.26445316,WEST BUREAU,0.286503638632306,119220672.514
84,11,0,6,6,2.23174941,CENTRAL BUREAU,0.10922699552878,62092312.5573
85,5,0,52,52,2.28529065,WEST BUREAU,0.119149148628852,63689200.767
86,11,0,20,20,3.74793862,CENTRAL BUREAU,0.155728077397091,104515892.607
87,2,0,1,1,3.89904012,CENTRAL BUREAU,0.211075341458693,108634877.21
88,2,0,47,47,3.41382131,CENTRAL BUREAU,0.175681483846535,95168577.3812
89,2,0,44,44,2.08809579,CENTRAL BUREAU,0.104232719266706,58213131.8887
90,9,0,19,19,14.99132292,WEST BUREAU,0.355162594842532,418016046.562
91,9,0,71,71,5.10733298,WEST BUREAU,0.251512598619818,142436264.797
92,9,0,23,23,11.47593305,WEST BUREAU,0.288927137855682,319936909.256
93,5,0,27,27,2.52810426,WEST BUREAU,0.155184780921911,70002066.712
94,6,0,B2,112,0.67694888,SOUTH BUREAU,0.14566354804855,18872251.7323
95,6,0,36,36,3.36809927,SOUTH BUREAU,0.205517026397985,93897218.7689
96,6,0,B3B4,49,0.58143166,SOUTH BUREAU,0.151776994506274,16209384.4092
97,6,0,49,49,1.66789902,SOUTH BUREAU,0.214601847418382,46498355.9639
98,6,0,38,38,5.70811403,SOUTH BUREAU,0.271463730753037,159133086.163
99,6,0,101,101,2.60292486,SOUTH BUREAU,0.147924137347883,72565380.4892
100,6,0,85,85,4.47979655,SOUTH BUREAU,0.218405044765599,124889560.218
101,6,0,79,79,3.88397643,SOUTH BUREAU,0.262994343034884,108279048.397
102,6,0,B5,110,2.54221864,SOUTH BUREAU,0.234503218728961,70872988.2463
103,6,0,48,48,2.33824204,SOUTH BUREAU,0.258418588320791,65186446.9021
104,6,0,B1,111,1.25551578,SOUTH BUREAU,0.213982036673331,35001771.0263
105,6,0,112,112,0.96158131,SOUTH BUREAU,0.129663898226307,26807348.4886
106,6,0,40,40,3.2737415,SOUTH BUREAU,0.309340815840886,91266674.9731
